jcl_member,permanent_sort_datasets,dataset_count,examples
JCNPRC20,1,12,PRDCIS.BTHSEQ.MY20A2.CPCTL.CNPRC20.SORT
JCP0203R,1,14,PRDEDC.WRKSEQ.MY20A2.EDCWRK.SORT
JCP0506U,1,30,PRDCIS.BTHSEQ.MY20A2.GLFSAHCI.SRT
JCP05081,1,50,PRDCRD.WRKSEQ.MY20A2.EMV.R.CPEMBV1.SORT
JCP0537U,1,24,PRDCRD.WRKVSM.MY20A2.MCR.MAS.MCHCO.SRT
JCP0577U,1,12,PRDCRD.WRKSEQ.MY20A2.HRM.PMT.HRMIS.SORTED
JCP0609U,1,20,PRDCRD.BTHSEQ.MY20A2.RTB.CPBPLT.SORT
JCP0746B,1,33,PRDCRD.WRKSEQ.MY20A2.EMV.OUTS.CPAGENT.SORT
JCP0746R,1,33,PRDCRD.WRKSEQ.MY20A2.EMV.OUTS.CPAGENT.SORT
JCP0758U,1,14,PRDCRD.BTHSEQ.MY20A2.LPS.BP.SORT
JCP0758Y,1,3,PRDCRD.BTHSEQ.MY20A2.LPS.BP.SORT
JCP0766R,1,50,PRDCRD.WRKSEQ.MY20A2.CQD720.CQMSTM.SORT1
JCP0766Y,1,37,PRDCRD.WRKSEQ.MY20A2.CQD720.CQMSTM.SORT1
JCP0806U,1,31,PRDCRD.BTHSEQ.MY20A2.CUP.SETTL.SORT
JCP0861B,1,46,PRDCRD.WRKSEQ.MY20A2.EMV.GMT.CPAGENT.SORT
JCP0861R,1,46,PRDCRD.WRKSEQ.MY20A2.EMV.GMT.CPAGENT.SORT
JCP0942U,1,20,PRDCLB.BTHSEQ.MY20A2.LBCRD.SORT
JCP0947U,1,20,PRDCRD.WRKSEQ.MY20A2.GFM.NPLMST.SORTED
JCP0999R,1,9,PRDCRD.WRKSEQ.MY20A2.BNMOLMER.RPTOLMER.SORT
JCP1016U,1,7,PRDCRD.WRKSEQ.MY20A2.ORGTC.SORTED
JCP1030U,1,10,PRDCRD.BTHSEQ.MY20A2.TNGPART.SORT1
JCP1105U,1,17,&ENV.CIS.BTHSEQ.&VER.STMT.RAWFILE.SORTED
JCP1113U,1,26,PRDCIS.BTHSEQ.MY20A2.STMT.RAWFILE6.SORTED
JCP1114R,1,9,PRDCIS.BTHSEQ.MY20A2.STMT.RAWFILE6.SORTED
JCP1114U,1,8,PRDCIS.BTHSEQ.MY20A2.STMT.RAWFILE6.SORTED
JCP1291U,1,20,PRDCLB.BTHSEQ.MY20A2.LBCRD.SORT
JCP1310R,1,8,PRDCRD.BTHSEQ.MY20A2.LPS.BP.SORT
JCP1333R,1,24,PRDCRD.WRKSEQ.MY20A2.OWLIMIT.CRDPLT.SORT
