production_job,runs,avg_min,p95_min,min_min,max_min,total_min_jun26,mapped_to_a7
JCP2615U,32,6.19,9.77,4.88,10.15,198,No
JQMDY10,32,6.08,6.53,5.58,6.55,195,Yes
SCP1422B,32,6.04,9.18,2.30,9.75,193,No
JAUDHST,32,6.03,8.27,1.53,8.33,193,Yes
SAUDHST,32,5.84,8.23,1.08,8.65,187,No
JCPBKD09,32,5.78,6.65,5.22,7.65,185,No
JCPAAS22,32,5.74,6.32,5.32,6.40,184,No
SAISPCLJ,32,5.72,9.00,0.97,9.18,183,No
JCP0680U,32,5.71,6.58,5.18,6.85,183,Yes
JCP14232,32,5.69,18.88,0.00,19.20,182,No
JCPAAS21,32,5.69,6.12,5.33,6.15,182,No
JQMBMER,32,5.64,6.60,3.62,6.62,180,Yes
JCP1057U,32,5.61,5.98,5.27,6.05,180,Yes
JQMDY06,32,5.58,6.28,5.22,6.35,179,Yes
JCPAAS18,30,5.91,6.38,5.35,6.48,177,No
JCP14231,32,5.39,17.47,0.00,18.12,172,No
JCPBKB2B,32,5.36,5.53,4.98,5.68,172,No
